exp,method,map,dataset,n_agents,share_fraction,n_access,steps,seed,tasks_completed,fails,collisions,coll_obstacle,coll_robot,rrt_calls,wall_s
R1_libvariants_map2,lib_repair,map2,original,8,0.0,0,2000,4,353,103,1113,0,1113,34,89.92
R5_transfer_map3,hybrid_original,map3,original,4,0.0,0,2000,4,75,213,1916,1781,135,70,134.83
R1_libvariants_map2,lib_regen,map2,original,8,0.0,0,2000,4,423,72,869,0,869,21,77.77
R5_transfer_map3,hybrid_map3lib,map3,map3lib,6,0.0,0,2000,4,273,63,677,0,677,34,114.94
R3_prioritized_map2,prioritized,map2,prioritized,10,0.0,0,2000,4,854,1,107,0,107,972,4.24
R2_scripted_map2,scripted_alternative,map2,alternative,8,0.0,0,2000,4,374,25,843,0,843,16,94.7
R2_scripted_map2,scripted_original,map2,original,8,0.0,0,2000,4,349,68,1616,831,785,49,105.37
R4_online_cap300_map2,online_cap300,map2,rrt_online,10,0.0,0,2000,4,701,1020,1633,0,1633,2563,32.58
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,10,0.0,0,2000,4,517,165,1498,0,1498,1410,56.83
R1_libvariants_map2,lib_filter,map2,original,10,0.0,0,2000,4,424,160,1594,0,1594,154,95.15
R5_transfer_map3,hybrid_map3lib,map3,map3lib,10,0.0,0,2000,3,408,150,2129,0,2129,91,323.42
R1_libvariants_map2,lib_filter,map2,original,2,0.0,0,2000,5,104,12,25,0,25,19,7.11
R5_transfer_map3,hybrid_original,map3,original,6,0.0,0,2000,4,84,357,3245,2864,381,104,208.45
R1_libvariants_map2,lib_repair,map2,original,2,0.0,0,2000,5,95,13,30,0,30,4,12.08
R1_libvariants_map2,lib_regen,map2,original,10,0.0,0,2000,4,534,105,1328,0,1328,31,105.64
R3_prioritized_map2,prioritized,map2,prioritized,2,0.0,0,2000,5,172,1,1,0,1,176,1.27
R1_libvariants_map2,lib_repair,map2,original,10,0.0,0,2000,4,440,119,1714,0,1714,50,118.79
R4_online_cap300_map2,online_cap300,map2,rrt_online,2,0.0,0,2000,5,139,117,57,0,57,282,4.67
R1_libvariants_map2,lib_regen,map2,original,2,0.0,0,2000,5,115,8,24,0,24,3,13.64
R4_online_cap1000_map2,online_cap1000,map2,rrt_online,2,0.0,0,2000,5,123,4,13,0,13,139,5.34
R2_scripted_map2,scripted_original,map2,original,2,0.0,0,2000,5,106,7,200,191,9,8,18.91
R2_scripted_map2,scripted_alternative,map2,alternative,2,0.0,0,2000,5,86,1,28,0,28,7,14.05
